bin_start_utc,cohort,z,art_count,tone,react_bar,r_react,drift+15m,drift+30m,drift+1h,drift+3h
2026-06-02 15:15:00+00:00,intraday,5.73317145555106,20.0,0.1599,2026-06-02 11:30:00-04:00,-0.00016590969695218227,-0.002972311418494411,-0.003218460176678817,-0.002079197040064318,-0.013759127811462935
2026-06-03 23:30:00+00:00,overnight,8.43113449345744,28.0,-0.0778,2026-06-04 09:30:00-04:00,0.0010082809576146268,-0.006582521137603936,-0.011776178185164854,-0.003539758813456473,0.012186893633984619
2026-06-05 21:45:00+00:00,overnight,7.7566437339808445,26.0,-1.829,2026-06-08 09:30:00-04:00,-0.004864736882322251,-0.0008090976150050277,-0.006870086823704602,-0.005859340182363004,-0.004919021775855015
2026-06-05 23:30:00+00:00,overnight,7.4193983542425475,25.0,-3.1736,2026-06-08 09:30:00-04:00,-0.004864736882322251,-0.0008090976150050277,-0.006870086823704602,-0.005859340182363004,-0.004919021775855015
2026-06-08 16:00:00+00:00,intraday,3.822114303700706,20.0,0.5475,2026-06-08 12:15:00-04:00,0.0023739958942619044,-0.0023274327352352797,-0.0030873502732915448,-0.002971876012763053,-0.0005789801065676503
2026-06-10 20:45:00+00:00,overnight,4.946265569495031,24.0,0.2183,2026-06-11 09:30:00-04:00,0.003788086385622891,-0.0023327825849086548,-0.004179710686023297,-0.002254440912821787,-0.008172348623506576
2026-06-10 22:30:00+00:00,overnight,4.046944556859571,20.0,-0.0874,2026-06-11 09:30:00-04:00,0.003788086385622891,-0.0023327825849086548,-0.004179710686023297,-0.002254440912821787,-0.008172348623506576
2026-06-18 15:30:00+00:00,intraday,6.4076622150276545,20.0,0.4994,2026-06-18 11:45:00-04:00,-0.0007462118928529549,0.0028081981185736904,0.0036206986311086986,0.007415267796672342,0.004029209878112061
2026-06-23 14:30:00+00:00,intraday,12.815324430055309,21.0,0.5442,2026-06-23 10:45:00-04:00,0.0005603560885768522,-0.004118265595582482,-0.005952804619980379,-0.002080159870378684,-0.0015582838154177825
2026-06-23 21:00:00+00:00,overnight,7.4193983542425475,24.0,-0.7535,2026-06-24 09:30:00-04:00,-0.0013360581965693452,0.003299196881241695,0.0017868452372277188,0.0001615620714811028,0.0017019837724392417
2026-06-24 10:15:00+00:00,overnight,6.4076622150276545,21.0,0.9246,2026-06-24 09:30:00-04:00,-0.0013360581965693452,0.003299196881241695,0.0017868452372277188,0.0001615620714811028,0.0017019837724392417
2026-06-24 20:00:00+00:00,overnight,10.454606771887226,33.0,-0.6737,2026-06-25 09:30:00-04:00,-0.0013862053714942535,-0.00845692892481642,-0.006503712042358445,-0.0074048024445076965,-0.00667174047293595
