date,category,day_n,day_tone,day_tone_sd
2022-12-19,hyperscalers,2482,0.3527839459862291,2.8786313792456006
2022-12-19,macro,3473,-2.420163935963764,2.745247315295161
2022-12-19,nvda,86,1.213522169371426,2.3762176235678307
2022-12-20,ai_companies,2,0.0333415827971148,4.219871560991321
2022-12-20,brokers,1027,-1.0116862871130683,2.3756167432947284
2022-12-20,competitors,174,1.6248566293242368,2.4603899953437898
2022-12-20,hyperscalers,2552,0.263652664865705,2.9040773314367208
2022-12-20,macro,4612,-2.47284310369232,2.772424086838149
2022-12-20,nvda,96,0.7837294936598284,2.567929538474504
2022-12-21,ai_companies,2,2.66770198761616,1.0144823904578435
2022-12-21,brokers,1101,-0.9182259615329724,2.2618266059448184
2022-12-21,competitors,188,1.1524452412898096,2.764744303474011
2022-12-21,hyperscalers,2481,0.0976372948823148,2.898179220705292
2022-12-21,macro,7296,-1.616676028232193,2.491712321010584
2022-12-21,nvda,114,0.5556754661311256,2.3471165728244965
2022-12-22,ai_companies,1,3.48837209302326,
2022-12-22,brokers,886,-0.527686307524055,2.3031402173232
2022-12-22,competitors,243,0.583701765836859,2.666458192302928
2022-12-22,hyperscalers,2937,0.196894350557785,3.0574276333222574
2022-12-22,macro,5752,-1.2601162491329023,2.416093797093251
2022-12-22,nvda,167,0.2605463252842329,3.190186481311281
2022-12-23,brokers,545,-0.2392039614039401,2.3818722229772784
2022-12-23,competitors,199,0.6884186734323325,2.457938233410773
2022-12-23,hyperscalers,2865,0.2582456019407572,3.020229831893207
2022-12-23,macro,4510,-2.060572273976009,2.540323841697879
2022-12-23,nvda,95,-0.52495500721152,2.561604101360046
2022-12-24,brokers,253,-0.1267062657909652,2.5472739844625525
2022-12-24,competitors,71,1.7006845426237769,2.6153721341575045
2022-12-24,hyperscalers,1146,0.169286298902833,2.609599892778069
2022-12-24,macro,1637,-1.8403319338735653,2.9711588470520387
2022-12-24,nvda,32,-0.0992139101120122,2.009266889502948
2022-12-25,brokers,213,-0.4076390038497151,2.4683884289435767
2022-12-25,competitors,62,1.1040555328659247,2.46934243520628
